,Idade,Genero,Estados,Cargo,Carreira,Faixa salarial,Experiencia,Raça
0,31.0,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,14000.0,de 3 a 4 anos,Branca
1,30.0,Masculino,Espírito Santo (ES),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca
2,37.0,Feminino,São Paulo (SP),Analista de Dados,Júnior,7000.0,Até 2 anos,Amarela
3,22.0,Masculino,São Paulo (SP),,,,,Preta
4,34.0,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca
5,30.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,10000.0,Até 2 anos,Branca
6,24.0,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca
7,35.0,Masculino,São Paulo (SP),,,22500.0,de 7 a 10 anos,Branca
8,27.0,Masculino,Rio de Janeiro (RJ),,,,,Parda
9,28.0,Masculino,São Paulo (SP),,,,,Parda
10,25.0,Masculino,Sergipe (SE),Analista de BI,Júnior,1500.0,Até 2 anos,Preta
11,46.0,Feminino,Pernambuco (PE),,,,,Parda
12,32.0,Feminino,Rio Grande do Sul (RS),Outra opção,Pleno,3500.0,Até 2 anos,Preta
13,39.0,Masculino,São Paulo (SP),,,18000.0,Mais de 10 anos,Branca
14,36.0,Masculino,Distrito Federal (DF),,,14000.0,de 7 a 10 anos,Branca
15,35.0,Feminino,Minas Gerais (MG),,,10000.0,de 4 a 6 anos,Branca
16,29.0,Feminino,Rio de Janeiro (RJ),Analista de Dados,Pleno,5000.0,de 4 a 6 anos,Branca
17,29.0,Feminino,Minas Gerais (MG),Analista de BI,Júnior,2500.0,Até 2 anos,Não informado
18,27.0,Masculino,Paraná (PR),Outra opção,Júnior,2500.0,de 3 a 4 anos,Parda
19,31.0,Masculino,Rio de Janeiro (RJ),,,10000.0,de 7 a 10 anos,Branca
20,35.0,Masculino,Paraíba (PB),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Parda
21,35.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,de 7 a 10 anos,Branca
22,29.0,Masculino,Paraná (PR),Cientista de dados,Sênior,40000.0,de 4 a 6 anos,Branca
23,44.0,Feminino,Minas Gerais (MG),,,10000.0,de 3 a 4 anos,Branca
24,25.0,Feminino,São Paulo (SP),Engenheiro de dados,Júnior,7000.0,Até 2 anos,Branca
25,36.0,Masculino,Acre (AC),Analista de Dados,Júnior,1500.0,Até 2 anos,Branca
26,36.0,Feminino,Minas Gerais (MG),,,14000.0,Mais de 10 anos,Parda
27,46.0,Masculino,Santa Catarina (SC),Outra opção,Pleno,10000.0,Até 2 anos,Branca
28,33.0,Feminino,São Paulo (SP),Analista de Dados,Pleno,7000.0,Até 2 anos,Parda
29,30.0,Masculino,São Paulo (SP),Outra opção,Pleno,10000.0,de 4 a 6 anos,Branca
30,32.0,Masculino,São Paulo (SP),Outra opção,Sênior,14000.0,de 7 a 10 anos,Parda
31,38.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 7 a 10 anos,Preta
32,36.0,Masculino,São Paulo (SP),,,27500.0,de 7 a 10 anos,Parda
33,53.0,Masculino,Rio Grande do Sul (RS),Outra opção,Pleno,3500.0,Até 2 anos,Branca
34,23.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,3500.0,de 3 a 4 anos,Amarela
35,31.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
36,33.0,Feminino,Bahia (BA),Analista de BI,Sênior,5000.0,de 7 a 10 anos,Branca
37,36.0,Masculino,Santa Catarina (SC),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Branca
38,29.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 7 a 10 anos,Branca
39,38.0,Masculino,Paraná (PR),Analista de Dados,Pleno,5000.0,Mais de 10 anos,Branca
40,23.0,Masculino,Rio Grande do Sul (RS),Analista de Dados,Pleno,7000.0,Até 2 anos,Branca
41,27.0,Masculino,Pará (PA),Analista de Dados,Pleno,7000.0,Até 2 anos,Branca
42,26.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,22500.0,de 4 a 6 anos,Branca
43,30.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,10000.0,de 4 a 6 anos,Parda
44,26.0,Feminino,Paraná (PR),Analista de BI,Júnior,3500.0,Até 2 anos,Branca
45,50.0,Feminino,São Paulo (SP),Cientista de dados,Pleno,10000.0,Mais de 10 anos,Parda
46,23.0,Feminino,Minas Gerais (MG),,,5000.0,de 3 a 4 anos,Branca
47,22.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,7000.0,de 3 a 4 anos,Branca
48,39.0,Masculino,Goiás (GO),Analista de BI,Júnior,5000.0,Até 2 anos,Parda
49,34.0,Feminino,Pernambuco (PE),Engenheiro de dados,Sênior,14000.0,de 7 a 10 anos,Branca
50,23.0,Masculino,,Cientista de dados,Júnior,5000.0,Até 2 anos,Branca
51,29.0,Masculino,Distrito Federal (DF),Analista de Dados,Sênior,10000.0,de 7 a 10 anos,Preta
52,25.0,Feminino,São Paulo (SP),Outra opção,Júnior,3500.0,Até 2 anos,Branca
53,26.0,Feminino,Paraná (PR),Engenheiro de dados,Pleno,7000.0,Até 2 anos,Branca
54,27.0,Masculino,Pernambuco (PE),Engenheiro de dados,Sênior,22500.0,de 4 a 6 anos,Preta
55,27.0,Masculino,São Paulo (SP),Cientista de dados,Júnior,3500.0,Até 2 anos,Branca
56,24.0,Masculino,São Paulo (SP),Analista de BI,Júnior,2500.0,Até 2 anos,Branca
57,22.0,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,1500.0,Até 2 anos,Branca
58,29.0,Masculino,Espírito Santo (ES),Engenheiro de dados,Pleno,7000.0,Até 2 anos,Preta
59,32.0,Masculino,Rio Grande do Sul (RS),Cientista de dados,Sênior,14000.0,de 3 a 4 anos,Branca
60,38.0,Feminino,Espírito Santo (ES),Outra opção,Sênior,7000.0,de 3 a 4 anos,Branca
61,62.0,Masculino,São Paulo (SP),,,,,Parda
62,27.0,Masculino,Paraná (PR),Cientista de dados,Júnior,2500.0,Até 2 anos,Branca
63,27.0,Masculino,São Paulo (SP),,,18000.0,de 4 a 6 anos,Branca
64,27.0,Feminino,Rio Grande do Sul (RS),Outra opção,Pleno,7000.0,Até 2 anos,Branca
65,29.0,Masculino,Paraná (PR),Engenheiro de dados,Sênior,18000.0,de 4 a 6 anos,Branca
66,23.0,Feminino,Bahia (BA),,,,,Branca
67,23.0,Masculino,Rio Grande do Sul (RS),Analista de Dados,Pleno,3500.0,de 3 a 4 anos,Preta
68,26.0,Masculino,Mato Grosso (MT),Analista de BI,Pleno,5000.0,Até 2 anos,Branca
69,33.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,14000.0,de 7 a 10 anos,Amarela
70,24.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
71,26.0,Feminino,Rio de Janeiro (RJ),Analista de BI,Sênior,10000.0,de 4 a 6 anos,Branca
72,28.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Branca
73,37.0,Feminino,Rio Grande do Sul (RS),Engenheiro de dados,Júnior,5000.0,Até 2 anos,Branca
74,33.0,Masculino,Paraná (PR),Analista de BI,Pleno,7000.0,de 4 a 6 anos,Branca
75,25.0,Masculino,Piauí (PI),,,,,Branca
76,30.0,Masculino,Rio Grande do Sul (RS),,,14000.0,de 7 a 10 anos,Branca
77,43.0,Masculino,Paraná (PR),Outra opção,Júnior,2500.0,de 7 a 10 anos,Parda
78,29.0,Feminino,São Paulo (SP),,,14000.0,de 4 a 6 anos,Branca
79,30.0,Feminino,São Paulo (SP),Cientista de dados,Sênior,14000.0,de 4 a 6 anos,Parda
80,48.0,Masculino,São Paulo (SP),Outra opção,Sênior,10000.0,Até 2 anos,Branca
81,29.0,Masculino,Distrito Federal (DF),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
82,27.0,Masculino,Espírito Santo (ES),,,10000.0,de 3 a 4 anos,Branca
83,28.0,Masculino,Espírito Santo (ES),Analista de Dados,Júnior,1500.0,Até 2 anos,Branca
84,27.0,Masculino,Santa Catarina (SC),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca
85,28.0,Masculino,Santa Catarina (SC),Cientista de dados,Júnior,1000.0,de 3 a 4 anos,Branca
86,29.0,Masculino,Rio de Janeiro (RJ),Outra opção,Sênior,14000.0,de 4 a 6 anos,Branca
87,,,,,,,,
88,21.0,Masculino,Goiás (GO),,,,,Branca
89,49.0,Masculino,São Paulo (SP),,,27500.0,de 4 a 6 anos,Branca
90,33.0,Feminino,Pernambuco (PE),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Parda
91,23.0,Masculino,Rio de Janeiro (RJ),Analista de Dados,Pleno,3500.0,Até 2 anos,Parda
92,27.0,Masculino,Goiás (GO),Engenheiro de dados,Pleno,5000.0,Até 2 anos,Parda
93,37.0,Feminino,São Paulo (SP),,,,,Branca
94,34.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Amarela
95,24.0,Masculino,São Paulo (SP),Outra opção,Júnior,2500.0,Até 2 anos,Branca
96,24.0,Feminino,São Paulo (SP),Outra opção,Júnior,2500.0,Até 2 anos,Branca
97,35.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,14000.0,de 7 a 10 anos,Parda
98,26.0,Masculino,Ceará (CE),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Parda
99,25.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Branca
100,28.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,22500.0,de 7 a 10 anos,Branca
101,19.0,Masculino,São Paulo (SP),Analista de BI,Júnior,3500.0,Até 2 anos,Branca
102,28.0,Feminino,Minas Gerais (MG),,,,,Parda
103,42.0,Feminino,São Paulo (SP),Cientista de dados,Pleno,10000.0,Mais de 10 anos,Branca
104,,,,,,,,
105,30.0,Masculino,São Paulo (SP),,,22500.0,de 4 a 6 anos,Branca
